name,district,court
Judge Sherri Beatty-Arthur,District of Columbia Superior Court,Superior Court
Erin C. Johnston,District of Columbia Superior Court,Superior Court
Ray D. McKenzie,District of Columbia Superior Court   ,Superior Court
Michael A. Delaney,,Court of Appeals
Judge Amanda Brailsford,District of Idaho,District Court
Judge Jeffrey Cummings,Northern District of Illinois,District Court
Judge LaShonda A. Hunt,Northern District of Illinois,District Court
Cindy K. Chung,,Court of Appeals
Kelley B. Hodge,Eastern District of Pennsylvania,District Court
John Frank Murphy,Eastern District of Pennsylvania,District Court
Judge Mia Perez,Eastern District of Pennsylvania,District Court
Judge Kai Scott,Eastern District of Pennsylvania,District Court
Judge Kato Crews,District of Colorado,District Court
Jabari Wamble,District of Kansas,District Court
Molly Silfen,,Court of Federal Claims
Margaret Garnett,Southern District of New York,District Court
Judge Jennifer L. Hall,District of Delaware,District Court
Brandy R. McMillion,Eastern District of Michigan,District Court
Judge Karoline Mehalchick,Middle District of Pennsylvania,District Court
Lisa Wang,,Court of International Trade
Joseph A. Laroski,,Court of International Trade
April Perry,Northern District of Illinois,Attorney
Special Master Katherine E. Oler,District of Columbia Superior Court,Superior Court
Judge Judith E. Pipe,District of Columbia Superior Court,Superior Court
Charles J. Willoughby Jr.,District of Columbia Superior Court,Superior Court
Judge Ana de Alba,,Court of Appeals
Judge Irma Carrillo Ramirez,,Court of Appeals
Judge Matthew P. Brookman,Southern District of Indiana,District Court
Michael E. Farbiarz,District of New Jersey,District Court
Judge Marian Gaston,Southern District of California,District Court
Judge Wesley Hsu,District of California,District Court
Judge Robert Kirsch,District of New Jersey,District Court
Mónica Ramírez Almadani,District of California,District Court
Seth R. Aframe,,Court of Appeals
Judge Edward S. Kiel,District of New Jersey,District Court
Sarah F. Russell,District of Connecticut,District Court
Rachel S. Bloomekatz,,Court of Appeals
Judge Florence Y. Pan,District of Columbia Circuit,Court of Appeals
Judge Doris L. Pryor,,Court of Appeals
Myrna Perez,,Court of Appeals
Sarah A. L. Merriam,District of Connecticut,District Court
Sarala Vidya Nagala,District of Connecticut,District Court
Omar A. Williams,District of Connecticut,District Court
Jia M. Cobb,District of Columbia,District Court
Tovah R. Calderon,District of Columbia Court of Appeals,Court of Appeals
Kenia Seoane Lopez,District of Columbia,Superior Court
Matthew L. Garcia,District of New Mexico,District Court
Lindsay C. Jenkins,Northern District of Illinois,District Court
Justice Adrienne C. Nelson,District of Oregon,District Court
Judge Andrew G. Schopler,Southern District of California,District Court
Judge James Edward Simmons Jr,Southern District of California,District Court
Vijay Shanker,,Court of Appeals
Laura Crane,,Superior Court
Veronica Sanchez,,Superior Court
Jeremy C. Daniel,Northern District of Illinois,District Court
Judge Brendan Abell Hurson,District of Maryland,District Court
Judge Matthew J. Maddox,District of Maryland,District Court
Darrel James Papillion,Eastern District of Louisiana,District Court
Judge Tanya Jones Bosier,District of Columbia,Superior Court
Danny Lam Nguyen,District of Columbia,Superior Court
Tara McGrath,Southern District of California,Attorney
Eric G. Olshan,Western District of Pennsylvania,Attorney
Julie Rikelman,,
Maria Araujo Kahn,,
Judge Daniel Calabretta,Eastern District of California,District Court
Todd E. Edelman,District of the District of Columbia,
Jeffery P. Hopkins,Southern District of Ohio,District Court
Justice Myong J. Joun,District of Massachusetts,District Court
Julia Kobick,District of Massachusetts,District Court
Judge Rita F. Lin,Northern District of California,District Court
Araceli Martinez-Olguin,Northern District of California,District Court
Scott Colom,Northern District of Mississippi ,District Court
Jaime E. Esparza,Western District of Texas,Attorney
Alamdar S. Hamdani,Southern District of Texas,Attorney
Leigha Simonton,Northern District of Texas,Attorney
Michael D. Black,Southern District of Ohio,Marshal
Stephen Eberle,Western District of Pennsylvania,Marshal
Justin Martinez,District of Utah,Marshal
Judge Margaret R. Guzman,District of Massachusetts,District Court
Kymberly Evanson,Western District of Washington,District Court
Jamal Whitehead,Western District of Washington,District Court
Judge Robert Stewart Ballou,Western District of Virginia,District Court
Jamar K. Walker,Eastern District of Virginia,District Court
Jorge Alberto Rodriguez,Northern District of New York,District Court
Justice Tamika Montgomery-Reeves,,Court of Appeals
Judge Frances Kay Behm,Eastern District of Michigan,District Court
Justice Beth Robinson,,Court of Appeals
Judge Mary Katherine Dimke,Eastern District of Washington,District Court
Charlotte Sweeney,District of Colorado,District Court
John P. Howard III,District of Columbia,Court of Appeals
Arianna J. Freeman,,Court of Appeals
Tiffany M. Cartwright,Western District of Washington,District Court
Nusrat Jahan Choudhury,Eastern District of New York,District Court
Judge Ana Isabel de Alba,Eastern District of California,District Court
Robert Steven Huie,Southern District of California,District Court
Natasha C. Merle,Eastern District of New York,District Court
Jennifer H. Rearden,Southern District of New York,District Court
Judge Nina Nin-Yuen Wang,District of Colorado,District Court
