properties.name,properties.headline,properties.article
California Northern,7.0,"Judge Jacqueline Corley, Judge Trina Thompson, P. Casey Pitts, Judge Rita F. Lin, Araceli Martinez-Olguin"
California Southern,9.0,"Linda Lopez, Jinsook Ohta, Judge Ruth Bermudez Montenegro, Judge Marian Gaston, Judge Andrew G. Schopler, Judge James Edward Simmons Jr, Tara McGrath, Robert Steven Huie"
New Jersey,8.0,"Georgette Castner, Evelyn Padin, Jamel K. Semper, Michael E. Farbiarz, Judge Robert Kirsch, Judge Edward S. Kiel"
Maryland,5.0,"Judge Julie Rubin, Clinton J. Fuchs, Judge Brendan Abell Hurson, Judge Matthew J. Maddox"
Nevada,4.0,"Judge Cristina D. Silva, Anne Rachel Traum"
California Northern,7.0,"Judge Jacqueline Corley, Judge Trina Thompson, P. Casey Pitts, Judge Rita F. Lin, Araceli Martinez-Olguin"
Nevada,4.0,"Judge Cristina D. Silva, Anne Rachel Traum"
Columbia,18.0,"Loren L. AliKhan, Adrienne Jennings Noti, Ebony M. Scott, D.W. Tunnage, Judge Errol Rajesh Arthur, Judge Leslie A. Meek, Carl Ezekiel Ross, Kendra Briggs, Ana C. Reyes, Sean C. Staples, J. Michelle Childs, Jia M. Cobb, Kenia Seoane Lopez, Judge Tanya Jones Bosier, Danny Lam Nguyen, John P. Howard III"
,,
,,
Virginia Eastern,4.0,"Judge Elizabeth Hanes, Patricia Tolliver Giles, Michael S. Nachmanoff, Jamar K. Walker"
New York Northern,2.0,"Anne M. Nardacci, Jorge Alberto Rodriguez"
Columbia,18.0,"Loren L. AliKhan, Adrienne Jennings Noti, Ebony M. Scott, D.W. Tunnage, Judge Errol Rajesh Arthur, Judge Leslie A. Meek, Carl Ezekiel Ross, Kendra Briggs, Ana C. Reyes, Sean C. Staples, J. Michelle Childs, Jia M. Cobb, Kenia Seoane Lopez, Judge Tanya Jones Bosier, Danny Lam Nguyen, John P. Howard III"
Georgia Northern,3.0,"Victoria Marie Calvert, Sarah Elisabeth Geraghty, Thomas E. Brown"
Massachusetts,5.0,"Brian A. Kyes, Joshua S. Levy, Justice Myong J. Joun, Julia Kobick, Judge Margaret R. Guzman"
Georgia Middle,1.0,Stephen D. Lynn
Georgia Southern,1.0,"Roy W. Minter, Jr"
New York Western,1.0,Colleen Holland
Texas Southern,2.0,"Judge John A. Kazen, Alamdar S. Hamdani"
Hawaii,1.0,Micah W. J. Smith
Mariana Islands Northern,1.0,Chief Judge Ramona V. Manglona
New Mexico,3.0,"David O. Barnett Jr., David Herrera Urias, Matthew L. Garcia"
,,
,,
Columbia Circuit,2.0,"Bradley N. Garcia, Judge Florence Y. Pan"
Puerto Rico,3.0,"Maria del R. Antongiorgi-Jordan, Judge Gina R. Mendez-Miro, Judge Camille L. Velez-Rive"
Minnesota,2.0,"Jerry W. Blackwell, Judge Katherine Marie Menendez"
Puerto Rico,3.0,"Maria del R. Antongiorgi-Jordan, Judge Gina R. Mendez-Miro, Judge Camille L. Velez-Rive"
Puerto Rico,3.0,"Maria del R. Antongiorgi-Jordan, Judge Gina R. Mendez-Miro, Judge Camille L. Velez-Rive"
,,
,,
Michigan Western,1.0,Jane M. Beckering
Virginia Eastern,4.0,"Judge Elizabeth Hanes, Patricia Tolliver Giles, Michael S. Nachmanoff, Jamar K. Walker"
Michigan Eastern,5.0,"Shalina D. Kumar, Susan K. DeClercq, Jonathan J.C. Grey, Brandy R. McMillion, Judge Frances Kay Behm"
Virginia Eastern,4.0,"Judge Elizabeth Hanes, Patricia Tolliver Giles, Michael S. Nachmanoff, Jamar K. Walker"
,,
,,
Columbia,18.0,"Loren L. AliKhan, Adrienne Jennings Noti, Ebony M. Scott, D.W. Tunnage, Judge Errol Rajesh Arthur, Judge Leslie A. Meek, Carl Ezekiel Ross, Kendra Briggs, Ana C. Reyes, Sean C. Staples, J. Michelle Childs, Jia M. Cobb, Kenia Seoane Lopez, Judge Tanya Jones Bosier, Danny Lam Nguyen, John P. Howard III"
Colorado,5.0,"Judge Kato Crews, Gordon Gallagher, Charlotte Sweeney, Judge Nina Nin-Yuen Wang"
Kansas,2.0,Jabari Wamble
,,
,,
,,
Iowa Southern,1.0,Judge Stephen Henley Locher
Illinois Northern,6.0,"Nancy L. Maldonado, Judge Jeffrey Cummings, Judge LaShonda A. Hunt, April Perry, Lindsay C. Jenkins, Jeremy C. Daniel"
Delaware,2.0,"Gregory B. Williams, Judge Jennifer L. Hall"
,,
New Jersey,8.0,"Georgette Castner, Evelyn Padin, Jamel K. Semper, Michael E. Farbiarz, Judge Robert Kirsch, Judge Edward S. Kiel"
California Northern,7.0,"Judge Jacqueline Corley, Judge Trina Thompson, P. Casey Pitts, Judge Rita F. Lin, Araceli Martinez-Olguin"
California Southern,9.0,"Linda Lopez, Jinsook Ohta, Judge Ruth Bermudez Montenegro, Judge Marian Gaston, Judge Andrew G. Schopler, Judge James Edward Simmons Jr, Tara McGrath, Robert Steven Huie"
New Jersey,8.0,"Georgette Castner, Evelyn Padin, Jamel K. Semper, Michael E. Farbiarz, Judge Robert Kirsch, Judge Edward S. Kiel"
Maryland,5.0,"Judge Julie Rubin, Clinton J. Fuchs, Judge Brendan Abell Hurson, Judge Matthew J. Maddox"
Nevada,4.0,"Judge Cristina D. Silva, Anne Rachel Traum"
California Northern,7.0,"Judge Jacqueline Corley, Judge Trina Thompson, P. Casey Pitts, Judge Rita F. Lin, Araceli Martinez-Olguin"
Nevada,4.0,"Judge Cristina D. Silva, Anne Rachel Traum"
Columbia,18.0,"Loren L. AliKhan, Adrienne Jennings Noti, Ebony M. Scott, D.W. Tunnage, Judge Errol Rajesh Arthur, Judge Leslie A. Meek, Carl Ezekiel Ross, Kendra Briggs, Ana C. Reyes, Sean C. Staples, J. Michelle Childs, Jia M. Cobb, Kenia Seoane Lopez, Judge Tanya Jones Bosier, Danny Lam Nguyen, John P. Howard III"
Oregon,3.0,"Judge Mustafa T. Kasubhai, Judge Amy M. Baggio, Justice Adrienne C. Nelson"
Hawai’i,1.0,Judge Shanlyn A. S. Park
New Jersey,8.0,"Georgette Castner, Evelyn Padin, Jamel K. Semper, Michael E. Farbiarz, Judge Robert Kirsch, Judge Edward S. Kiel"
California Eastern,4.0,"Kirk E. Sherriff, Judge Jennifer L. Thurston, Judge Daniel Calabretta, Judge Ana Isabel de Alba"
,,
Columbia,18.0,"Loren L. AliKhan, Adrienne Jennings Noti, Ebony M. Scott, D.W. Tunnage, Judge Errol Rajesh Arthur, Judge Leslie A. Meek, Carl Ezekiel Ross, Kendra Briggs, Ana C. Reyes, Sean C. Staples, J. Michelle Childs, Jia M. Cobb, Kenia Seoane Lopez, Judge Tanya Jones Bosier, Danny Lam Nguyen, John P. Howard III"
,,
,,
Columbia,18.0,"Loren L. AliKhan, Adrienne Jennings Noti, Ebony M. Scott, D.W. Tunnage, Judge Errol Rajesh Arthur, Judge Leslie A. Meek, Carl Ezekiel Ross, Kendra Briggs, Ana C. Reyes, Sean C. Staples, J. Michelle Childs, Jia M. Cobb, Kenia Seoane Lopez, Judge Tanya Jones Bosier, Danny Lam Nguyen, John P. Howard III"
Michigan Eastern,5.0,"Shalina D. Kumar, Susan K. DeClercq, Jonathan J.C. Grey, Brandy R. McMillion, Judge Frances Kay Behm"
Pennsylvania Middle,2.0,"Julia K. Munley, Judge Karoline Mehalchick"
Connecticut,5.0,"Vernon D. Oliver, Sarah F. Russell, Sarah A. L. Merriam, Sarala Vidya Nagala, Omar A. Williams"
,,
,,
,,
,,
,,
California,8.0,"Judge Sherilyn Peace Garnett, Judge Kenly Kiya Kato, Judge Fred W. Slaughter, Judge Sunshine Suzanne Sykes, Judge Maame Ewusi-Mensah Frimpong, Judge Hernán D. Vera, Judge Wesley Hsu, Mónica Ramírez Almadani"
Minnesota,2.0,"Jerry W. Blackwell, Judge Katherine Marie Menendez"
